timestamp,username,role,event,detail,ip
2026-05-15 13:58:30,Div-dev,admin,PAGE_VIEW,Model Performance,localhost
2026-05-15 14:30:07,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 14:30:14,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 14:30:14,Div-dev,admin,LOGOUT,,localhost
2026-05-15 14:32:14,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-15 14:32:14,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 16:50:59,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-15 16:51:37,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-15 16:51:47,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-16 12:57:04,Dev-div,—,LOGIN_FAILED,username not found,localhost
2026-05-16 12:57:17,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 12:57:23,Div-dev,admin,PAGE_VIEW,ML Predictions,localhost
2026-05-16 12:57:59,Div-dev,admin,PREDICTION_RUN,prob=0.25,localhost
2026-05-16 12:59:07,Div-Dev,—,LOGIN_FAILED,username not found,localhost
2026-05-16 12:59:16,Div-dev,—,LOGIN_FAILED,wrong password,localhost
2026-05-16 12:59:28,Div-Dev,—,LOGIN_FAILED,username not found,localhost
2026-05-16 12:59:35,Div-Dev,—,LOGIN_FAILED,username not found,localhost
2026-05-16 13:00:16,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 13:01:40,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 13:01:47,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-16 13:07:03,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 13:12:03,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 13:12:04,Div-dev,admin,PAGE_VIEW, Executive Dashboard,localhost
2026-05-16 13:12:14,Div-dev,admin,PAGE_VIEW, Churn Predictor,localhost
2026-05-16 13:12:17,Div-dev,admin,PAGE_VIEW, At-Risk Customers,localhost
2026-05-16 13:12:22,Div-dev,admin,PAGE_VIEW, Model Performance,localhost
2026-05-16 13:12:25,Div-dev,admin,PAGE_VIEW, Admin Panel,localhost
2026-05-16 13:12:39,Div-dev,admin,PAGE_VIEW, Model Performance,localhost
2026-05-16 13:12:42,Div-dev,admin,PAGE_VIEW, At-Risk Customers,localhost
2026-05-16 13:12:50,Div-dev,admin,PAGE_VIEW, Churn Predictor,localhost
2026-05-16 13:12:54,Div-dev,admin,PAGE_VIEW, Churn Predictor,localhost
2026-05-16 13:13:15,Div-dev,admin,PREDICTION_RUN,prob=0.21 risk=Low,localhost
2026-05-16 13:13:29,Div-dev,admin,PAGE_VIEW, Executive Dashboard,localhost
2026-05-16 13:40:53,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 13:41:26,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 13:41:36,Div-dev,admin,PREDICTION_RUN,prob=0.21 risk=Low,localhost
2026-05-16 13:41:49,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-16 13:41:51,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-16 13:41:55,Div-dev,admin,PAGE_VIEW,Model Performance,localhost
2026-05-16 13:42:02,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-16 13:42:49,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-16 13:44:02,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 13:56:51,Div-Dev,—,LOGIN_FAILED,username not found,localhost
2026-05-16 13:57:07,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 13:59:14,Div-dev,—,LOGIN_FAILED,wrong password,localhost
2026-05-16 13:59:26,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 14:03:00,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 14:47:10,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 14:47:11,Div-dev,admin,PAGE_VIEW, Executive Dashboard,localhost
2026-05-16 14:47:46,Div-dev,admin,PAGE_VIEW, Churn Predictor,localhost
2026-05-16 14:47:50,Div-dev,admin,PAGE_VIEW, At-Risk Customers,localhost
2026-05-16 14:47:56,Div-dev,admin,PAGE_VIEW, Model Performance,localhost
2026-05-16 14:48:08,Div-dev,admin,PAGE_VIEW, Admin Panel,localhost
2026-05-16 15:32:23,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 15:32:32,Div-dev,admin,PAGE_VIEW,ML Predictions,localhost
2026-05-16 22:01:06,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 22:01:06,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-16 22:01:19,Div-dev,admin,PAGE_VIEW,Model Performance,localhost
2026-05-16 22:01:53,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-16 22:02:02,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:15:07,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:15:09,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:15:10,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:15:11,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:15:13,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:15:13,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:15:20,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:15:22,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:15:24,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:15:28,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:15:41,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:15:41,Div-dev,admin,LOGOUT,,localhost
2026-05-16 22:17:07,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-16 22:17:07,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-16 22:17:48,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:18:40,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-16 22:19:23,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:19:59,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:05,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:07,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:10,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:13,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:13,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:13,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:16,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:16,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:16,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:17,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:17,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:22,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:28,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:32,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-16 22:20:44,Div-dev,admin,PREDICTION_RUN,prob=0.22 risk=Low,localhost
2026-05-16 22:22:30,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-16 22:23:14,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-16 22:23:18,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-16 22:23:29,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-16 22:23:33,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-16 22:24:45,Div-dev,admin,PAGE_VIEW,Model Performance,localhost
2026-05-16 22:26:32,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-16 22:29:20,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-16 22:29:20,Div-dev,admin,LOGOUT,,localhost
2026-05-16 22:29:33,user1,—,LOGIN_FAILED,username not found,localhost
2026-05-16 22:30:07,user12,user,LOGIN_SUCCESS,,localhost
2026-05-16 22:30:07,user12,user,PAGE_VIEW,Executive Dashboard,localhost
2026-05-18 11:44:18,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-18 11:44:20,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-18 11:44:44,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-18 11:46:34,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-18 11:46:34,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-18 11:47:28,Div-dev,admin,PAGE_VIEW,Model Performance,localhost
2026-05-18 12:25:00,Div-Dev,—,LOGIN_FAILED,username not found,localhost
2026-05-18 12:25:05,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-18 12:25:06,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-18 12:25:22,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-18 12:25:26,Div-dev,admin,PAGE_VIEW,Model Performance,localhost
2026-05-18 12:25:37,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-18 12:25:39,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-18 12:25:41,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-18 12:25:45,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-18 12:25:45,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-18 12:25:53,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-18 12:25:57,Div-dev,admin,PREDICTION_RUN,prob=0.22 risk=Low,localhost
2026-05-18 12:25:57,Div-dev,admin,PREDICTION_RUN,prob=0.22 risk=Low,localhost
2026-05-18 12:26:19,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-18 12:26:39,Div-dev,admin,PAGE_VIEW,Model Performance,localhost
2026-05-18 12:26:40,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-18 12:26:51,Div-dev,admin,PAGE_VIEW,Model Performance,localhost
2026-05-18 12:27:00,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-18 12:27:47,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-18 12:27:52,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-18 12:30:08,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-18 12:30:09,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-18 12:30:11,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-18 12:30:27,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-18 12:30:39,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-20 11:26:02,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-20 11:26:03,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-20 11:26:10,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-20 11:26:15,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-20 11:26:20,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-20 11:26:22,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-20 11:26:26,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-20 11:26:35,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-20 11:26:37,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-20 11:26:38,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-20 11:26:54,Div-dev,admin,PREDICTION_RUN,prob=0.33 risk=Low,localhost
2026-05-20 11:27:37,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-20 11:27:45,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-20 11:27:47,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-20 11:28:05,Div-dev,admin,PAGE_VIEW,Model Performance,localhost
